Game,Team,Goalie,Height,Birth Year,Age
1, West Germany,Schumacher,186,1954,28
1, France,Ettori,173,1955,27
2, France,Bats,180,1957,29
2, Brazil,Carlos,188,1956,30
3, West Germany,Schumacher,186,1954,32
3, Mexico,Larios,179,1960,26
4, Belgium,Pfaff,180,1953,33
4, Spain,Zubizarreta,187,1961,25
5, Republic of Ireland,Bonner,188,1960,30
5, Romania,Lung,194,1956,34
6, Argentina,Goycochea,185,1963,27
6, Yugoslavia,Ivković,189,1960,30
7, Argentina,Goycochea,185,1963,27
7, Italy,Zenga,188,1960,30
8, West Germany,Illgner,191,1967,23
8, England,Shilton,183,1949,41
9, Bulgaria,Mihaylov,185,1963,31
9, Mexico,Campos,168,1966,28
10, Sweden,Ravelli,186,1959,35
10, Romania,Prunea,183,1968,26
11, Brazil,Taffarel,180,1966,28
11, Italy,Pagliuca,190,1966,28
12, Argentina,Roa,191,1969,29
12, England,Seaman,193,1963,35
13, France,Barthez,180,1971,27
13, Italy,Pagliuca,190,1966,32
14, Brazil,Taffarel,180,1966,32
14, Netherlands,Van der Sar,197,1970,28
15, Spain,Casillas,182,1981,21
15, Republic of Ireland,Given,185,1976,26
16, South Korea,Lee Woon-jae,182,1973,29
16, Spain,Casillas,182,1981,21
17, Ukraine,Shovkovskyi,191,1975,31
17, Switzerland,Zuberbühler,197,1971,35
18, Germany,Lehmann,193,1969,37
18, Argentina,Franco,188,1977,29
19, Portugal,Ricardo,185,1976,30
19, England,Robinson,193,1979,27
20, Italy,Buffon,192,1978,28
20, France,Barthez,180,1971,35
21, Paraguay,Villar,180,1977,33
21, Japan,Kawashima,185,1983,27
22, Uruguay,Muslera,190,1986,24
22, Ghana,Kingson,183,1978,32
23, Brazil,Júlio César,187,1979,35
23, Chile,Bravo,184,1983,31
24, Costa Rica,Navas,185,1986,28
24, Greece,Karnezis,190,1985,29
25, Netherlands,Krul,188,1988,26
25, Costa Rica,Navas,185,1986,28
26, Argentina,Romero,192,1987,27
26, Netherlands,Cillessen,185,1989,25
27, Russia,Akinfeev,185,1986,32
27, Spain,De Gea,192,1990,28
28, Croatia,Subašić,191,1984,34
28, Denmark,Schmeichel,189,1986,32
29, England,Pickford,185,1994,24
29, Colombia,Ospina,183,1988,30
30, Croatia,Subašić,191,1984,34
30, Russia,Akinfeev,185,1986,32
