Game_id,Penalty_Number,Team,Player,Age,BirthYear
1,1,FRA,Giresse,30,1952
1,2,GER,Kaltz,29,1953
1,3,FRA,Amoros,20,1962
1,4,GER,Breitner,31,1951
1,5,FRA,Rocheteau,15,1967
1,6,GER,Stielike,15,1967
1,7,FRA,Six,14,1968
1,8,GER,Littbarski,20,1962
1,9,FRA,Platini,15,1967
1,10,GER,Rummenigge,15,1967
1,11,FRA,Bossis,15,1967
1,12,GER,Hrubesch,31,1951
2,1,BRA,Sócrates,32,1954
2,2,FRA,Stopyra,25,1961
2,3,BRA,Alemão,25,1961
2,4,FRA,Amoros,24,1962
2,5,BRA,Zico,33,1953
2,6,FRA,Bellone,24,1962
2,7,BRA,Branco,22,1964
2,8,FRA,Platini,31,1955
2,9,BRA,Júlio César,23,1963
2,10,FRA,Fernández,27,1959
3,1,GER,Allofs,30,1956
3,2,MEX,Negrete,27,1959
3,3,GER,Brehme,26,1960
3,4,MEX,Quirarte,30,1956
3,5,GER,Matthäus,25,1961
3,6,MEX,Servín,23,1963
3,7,GER,Littbarski,26,1960
3,8,MEX,,,
3,9,GER,,,
3,10,MEX,,,
4,1,SPA,Señor,28,1958
4,2,BEL,Claesen,24,1962
4,3,SPA,Eloy,86,1900
4,4,BEL,Scifo,20,1966
4,5,SPA,Chendo,25,1961
4,6,BEL,Broos,34,1952
4,7,SPA,Butragueño,23,1963
4,8,BEL,Vervoort,21,1965
4,9,SPA,Víctor,86,1900
4,10,BEL,L. Van der Elst,24,1962
5,1,ROM,Hagi,25,1965
5,2,IRE,Sheedy,31,1959
5,3,ROM,Lupu,23,1967
5,4,IRE,Houghton,28,1962
5,5,ROM,Rotariu,28,1962
5,6,IRE,Townsend,27,1963
5,7,ROM,Lupescu,22,1968
5,8,IRE,Cascarino,28,1962
5,9,ROM,Timofte,23,1967
5,10,IRE,O'Leary,32,1958
6,1,ARG,Serrizuela,28,1962
6,2,YUG,Stojković,25,1965
6,3,ARG,Burruchaga,28,1962
6,4,YUG,Prosinečki,21,1969
6,5,ARG,Maradona,30,1960
6,6,YUG,Savićević,24,1966
6,7,ARG,Troglio,25,1965
6,8,YUG,Brnović,27,1963
6,9,ARG,Dezotti,32,1958
6,10,YUG,Hadžibegić,33,1957
7,1,ITA,Baresi,30,1960
7,2,ARG,Serrizuela,28,1962
7,3,ITA,R. Baggio,23,1967
7,4,ARG,Burruchaga,28,1962
7,5,ITA,De Agostini,29,1961
7,6,ARG,Olarticoechea,32,1958
7,7,ITA,Donadoni,27,1963
7,8,ARG,Maradona,30,1960
7,9,ITA,Serena,30,1960
7,10,ARG,,,
8,1,ENG,Lineker,30,1960
8,2,GER,Brehme,30,1960
8,3,ENG,Beardsley,29,1961
8,4,GER,Matthäus,90,1900
8,5,ENG,Platt,24,1966
8,6,GER,Riedle,25,1965
8,7,ENG,Pearce,28,1962
8,8,GER,Thon,24,1966
8,9,ENG,Waddle,30,1960
8,10,GER,,,
9,1,MEX,García Aspe,27,1967
9,2,BUL,Balakov,28,1966
9,3,MEX,Bernal,32,1962
9,4,BUL,Genchev,30,1964
